key,truth,prediction
1702,"{'heading': '205', 'target': 'purple fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '205', 'tool': '', 'target': 'electromagnetic pulse'}"
1703,"{'heading': '145', 'target': 'yellow and brown helicopter', 'tool': 'EMP'}","{'heading': '145', 'tool': 'Control tower to air defense turrets', 'target': 'air defense turrets'}"
1704,"{'heading': '245', 'target': 'yellow drone', 'tool': 'surface-to-air missiles'}","{'heading': '245', 'tool': 'Control tower to air defense turrets', 'target': 'air defense turrets. Deploy surface - to - air missiles on yellow drone'}"
1705,"{'heading': '315', 'target': 'black cargo aircraft', 'tool': 'EMP'}","{'heading': '315', 'tool': 'Deploy EMP', 'target': 'black cargo aircraft'}"
1706,"{'heading': '140', 'target': 'grey drone', 'tool': 'drone catcher'}","{'heading': '140', 'tool': 'Deploy drone catcher', 'target': 'grey drone'}"
1707,"{'heading': '275', 'target': 'yellow, black, and orange drone', 'tool': 'electromagnetic pulse'}","{'heading': '275', 'tool': 'electromagnetic pulse', 'target': 'yellow, black, and orange drone'}"
1708,"{'heading': '070', 'target': 'orange and green fighter jet', 'tool': 'interceptor jets'}","{'heading': '070', 'tool': 'Control Tower', 'target': 'Control Tower'}"
1709,"{'heading': '210', 'target': 'orange, silver, and yellow commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '210', 'tool': 'Engage', 'target': 'orange, silver, and yellow commercial aircraft'}"
1710,"{'heading': '260', 'target': 'yellow and red missile', 'tool': 'anti-air artillery'}","{'heading': '260', 'tool': 'Launch anti-air artillery', 'target': 'two six zero'}"
1711,"{'heading': '350', 'target': 'blue, purple, and orange cargo aircraft', 'tool': 'EMP'}","{'heading': '350', 'tool': 'Control, activate EMP', 'target': 'blue, purple, and orange cargo aircraft'}"
1712,"{'heading': '295', 'target': 'grey, orange, and blue missile', 'tool': 'electromagnetic pulse'}","{'heading': '25', 'tool': 'electromagnetic pulse', 'target': 'grey, orange, and blue missile'}"
1713,"{'heading': '260', 'target': 'red, black, and green helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '260', 'tool': 'surface-to-air missiles', 'target': 'a red, black, and green helicopter'}"
1714,"{'heading': '310', 'target': 'brown, purple, and black cargo aircraft', 'tool': 'EMP'}","{'heading': '310', 'tool': 'Air defense turret, set heading three one zero. Deploy EMP', 'target': 'Air defense turret, set heading three one zero. Deploy EMP on brown, purple, and black cargo aircraft'}"
1715,"{'heading': '035', 'target': 'brown helicopter', 'tool': 'EMP'}","{'heading': '035', 'tool': 'Air defense turret, deploy EMP', 'target': 'Air defense turret, deploy EMP on the brown helicopter'}"
1716,"{'heading': '305', 'target': 'silver and red cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '305', 'tool': 'Control Tower to turrets', 'target': 'silver and red cargo aircraft'}"
1717,"{'heading': '185', 'target': 'grey missile', 'tool': 'electromagnetic pulse'}","{'heading': '185', 'tool': 'grey missile', 'target': 'grey missile'}"
1718,"{'heading': '045', 'target': 'blue and purple fighter jet', 'tool': 'EMP'}","{'heading': '045', 'tool': 'deploy EMP', 'target': 'blue and purple fighter jet'}"
1719,"{'heading': '270', 'target': 'silver cargo aircraft', 'tool': 'EMP'}","{'heading': '270', 'tool': 'Deploy EMP', 'target': 'silver cargo aircraft'}"
1720,"{'heading': '340', 'target': 'black, silver, and red commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '340', 'tool': 'Lock on and engage', 'target': 'Air defense turret'}"
1721,"{'heading': '225', 'target': 'blue commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '225', 'tool': 'air defense turrets', 'target': 'a blue commercial aircraft'}"
1722,"{'heading': '175', 'target': 'yellow light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '175', 'tool': 'Engage', 'target': 'a yellow light aircraft'}"
1723,"{'heading': '265', 'target': 'silver and red helicopter', 'tool': 'anti-air artillery'}","{'heading': '265', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1724,"{'heading': '135', 'target': 'silver commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '135', 'tool': 'electromagnetic pulse', 'target': 'silver commercial aircraft'}"
1725,"{'heading': '095', 'target': 'silver, blue, and red drone', 'tool': 'electromagnetic pulse'}","{'heading': '05', 'tool': 'Control tower to turrets, deploy electromagnetic pulse', 'target': 'Control tower to turrets'}"
1726,"{'heading': '310', 'target': 'purple and blue missile', 'tool': 'machine gun'}","{'heading': '310', 'tool': 'air defense turrets', 'target': 'a purple and blue missile'}"
1727,"{'heading': '345', 'target': 'green, brown, and blue commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '345', 'tool': 'Deploy interceptor jets', 'target': 'the green, brown, and blue commercial aircraft'}"
1728,"{'heading': '005', 'target': 'white fighter jet', 'tool': 'interceptor jets'}","{'heading': '005', 'tool': 'deploy the interceptor jets', 'target': 'interceptor jets'}"
1729,"{'heading': '185', 'target': 'white and black drone', 'tool': 'machine gun'}","{'heading': '185', 'tool': 'Deploy machine gun', 'target': 'white and black drone'}"
1730,"{'heading': '155', 'target': 'silver drone', 'tool': 'drone catcher'}","{'heading': '155', 'tool': 'drone catcher', 'target': 'air defense turrets'}"
1731,"{'heading': '105', 'target': 'purple missile', 'tool': 'surface-to-air missiles'}","{'heading': '105', 'tool': 'surface-to-air missiles', 'target': 'purple missile'}"
1732,"{'heading': '120', 'target': 'brown and black helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '120', 'tool': 'Engage', 'target': 'Engage'}"
1733,"{'heading': '275', 'target': 'purple camouflage fighter plane', 'tool': 'machine gun'}","{'heading': '275', 'tool': 'deploy machine gun', 'target': 'Engage target, purple camouflage fighter plane'}"
1734,"{'heading': '235', 'target': 'yellow and green missile', 'tool': 'EMP'}","{'heading': '235', 'tool': 'EMP tool', 'target': 'yellow and green missile'}"
1735,"{'heading': '180', 'target': 'blue, green, and brown fighter plane', 'tool': 'anti-air artillery'}","{'heading': '180', 'tool': 'Control tower to turrets, deploy anti-air artillery', 'target': 'Control tower to turrets'}"
1736,"{'heading': '285', 'target': 'red and brown camouflage drone', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'Deploy surface-to-air missiles', 'target': 'air defense turrets'}"
1737,"{'heading': '145', 'target': 'grey drone', 'tool': 'drone catcher'}","{'heading': '145', 'tool': '', 'target': 'grey drone'}"
1738,"{'heading': '165', 'target': 'brown missile', 'tool': 'surface-to-air missiles'}","{'heading': '165', 'tool': 'surface-to-air missiles', 'target': 'brown missile'}"
1739,"{'heading': '265', 'target': 'grey, green, and black commercial aircraft', 'tool': 'EMP'}","{'heading': '265', 'tool': 'Deploy EMP', 'target': 'grey, green, and black commercial aircraft'}"
1740,"{'heading': '285', 'target': 'silver missile', 'tool': 'surface-to-air missiles'}","{'heading': '285', 'tool': 'air defense turrets', 'target': 'silver missile'}"
1741,"{'heading': '030', 'target': 'red helicopter', 'tool': 'EMP'}","{'heading': '030', 'tool': 'EMP', 'target': 'red helicopter'}"
1742,"{'heading': '020', 'target': 'white and brown commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '20', 'tool': 'Engage', 'target': 'Engage'}"
1743,"{'heading': '345', 'target': 'silver and purple fighter plane', 'tool': 'anti-air artillery'}","{'heading': '345', 'tool': 'anti-air artillery', 'target': 'silver and purple fighter plane'}"
1744,"{'heading': '005', 'target': 'grey and orange light aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '005', 'tool': 'Control to turrets', 'target': 'grey and orange light aircraft'}"
1745,"{'heading': '235', 'target': 'white, yellow, and silver fighter jet', 'tool': 'anti-air artillery'}","{'heading': '23', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1746,"{'heading': '225', 'target': 'black, red, and orange drone', 'tool': 'anti-air artillery'}","{'heading': '225', 'tool': 'anti-air artillery', 'target': 'Engage target, black, red, and orange drone'}"
1747,"{'heading': '305', 'target': 'yellow commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '305', 'tool': 'Deploy interceptor jets', 'target': 'Deploy interceptor jets'}"
1748,"{'heading': '325', 'target': 'orange missile', 'tool': 'surface-to-air missiles'}","{'heading': '325', 'tool': 'surface-to-air missiles', 'target': 'orange missile'}"
1749,"{'heading': '040', 'target': 'orange, brown, and red cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '040', 'tool': 'Turrets', 'target': 'zero four zero'}"
1750,"{'heading': '245', 'target': 'red camouflage fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '245', 'tool': 'Prepare', 'target': 'two four five'}"
1751,"{'heading': '135', 'target': 'grey, blue, and white fighter jet', 'tool': 'interceptor jets'}","{'heading': '135', 'tool': 'Control tower', 'target': 'Control tower'}"
1752,"{'heading': '060', 'target': 'orange helicopter', 'tool': 'anti-air artillery'}","{'heading': '060', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1753,"{'heading': '345', 'target': 'blue and grey light aircraft', 'tool': 'anti-air artillery'}","{'heading': '345', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1754,"{'heading': '080', 'target': 'brown and black fighter plane', 'tool': 'EMP'}","{'heading': '080', 'tool': 'Deploy EMP', 'target': 'brown and black fighter plane'}"
1755,"{'heading': '290', 'target': 'silver, blue, and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '20', 'tool': 'EMP', 'target': 'two niner zero'}"
1756,"{'heading': '120', 'target': 'red missile', 'tool': 'machine gun'}","{'heading': '120', 'tool': 'Deploy machine gun', 'target': 'red missile'}"
1757,"{'heading': '300', 'target': 'purple and brown helicopter', 'tool': 'machine gun'}","{'heading': '300', 'tool': 'deploy machine gun', 'target': 'deploy machine gun'}"
1758,"{'heading': '235', 'target': 'orange fighter jet', 'tool': 'anti-air artillery'}","{'heading': '235', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1759,"{'heading': '250', 'target': 'brown camouflage light aircraft', 'tool': 'machine gun'}","{'heading': '250', 'tool': 'Deploy machine gun', 'target': 'brown camouflage light aircraft'}"
1760,"{'heading': '305', 'target': 'black commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '305', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1761,"{'heading': '045', 'target': 'blue, orange, and brown fighter plane', 'tool': 'EMP'}","{'heading': '045', 'tool': 'EMP', 'target': 'blue, orange, and brown fighter plane'}"
1762,"{'heading': '315', 'target': 'silver, red, and brown drone', 'tool': 'anti-air artillery'}","{'heading': '315', 'tool': 'anti-air artillery', 'target': 'silver, red, and brown drone'}"
1763,"{'heading': '130', 'target': 'grey, silver, and red commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '130', 'tool': 'electromagnetic pulse', 'target': 'grey, silver, and red commercial aircraft'}"
1764,"{'heading': '040', 'target': 'brown and purple commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '040', 'tool': 'Prepare', 'target': 'interceptor jets'}"
1765,"{'heading': '155', 'target': 'silver and white cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '155', 'tool': 'electromagnetic pulse', 'target': 'silver and white cargo aircraft'}"
1766,"{'heading': '040', 'target': 'black and red light aircraft', 'tool': 'anti-air artillery'}","{'heading': '040', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1767,"{'heading': '135', 'target': 'green, blue, and grey fighter jet', 'tool': 'machine gun'}","{'heading': '135', 'tool': 'Engage', 'target': 'fighter jet'}"
1768,"{'heading': '355', 'target': 'blue cargo aircraft', 'tool': 'EMP'}","{'heading': '355', 'tool': 'EMP', 'target': 'blue cargo aircraft'}"
1769,"{'heading': '120', 'target': 'white and blue cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '120', 'tool': 'anti-air artillery', 'target': 'white and blue cargo aircraft'}"
1770,"{'heading': '005', 'target': 'blue and red drone', 'tool': 'surface-to-air missiles'}","{'heading': '005', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
1771,"{'heading': '060', 'target': 'green, black, and yellow fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '060', 'tool': 'electromagnetic pulse', 'target': 'zero six zero'}"
1772,"{'heading': '130', 'target': 'brown missile', 'tool': 'anti-air artillery'}","{'heading': '130', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1773,"{'heading': '180', 'target': 'blue camouflage drone', 'tool': 'EMP'}","{'heading': '180', 'tool': 'Air defense turret, deploy EMP', 'target': 'Air defense turret, deploy EMP on blue camouflage drone at heading one eight zero'}"
1774,"{'heading': '010', 'target': 'silver, white, and purple fighter plane', 'tool': 'anti-air artillery'}","{'heading': '010', 'tool': 'anti-air artillery', 'target': 'a silver, white, and purple fighter plane'}"
1775,"{'heading': '015', 'target': 'purple and black helicopter', 'tool': 'machine gun'}","{'heading': '015', 'tool': '', 'target': 'zero one five. Engage purple and black helicopter'}"
1776,"{'heading': '040', 'target': 'white missile', 'tool': 'surface-to-air missiles'}","{'heading': '040', 'tool': 'Deploy surface-to-air missiles against white missile', 'target': 'white missile'}"
1777,"{'heading': '350', 'target': 'orange, purple, and red drone', 'tool': 'surface-to-air missiles'}","{'heading': '', 'tool': 'Control tower to air defense turrets, target three five zero, orange, purple, and red drone, deploy surface-to-air missiles', 'target': 'Control tower to air defense turrets'}"
1778,"{'heading': '125', 'target': 'silver, red, and green drone', 'tool': 'anti-air artillery'}","{'heading': '125', 'tool': '', 'target': 'a silver, red, and green drone'}"
1779,"{'heading': '155', 'target': 'blue and yellow light aircraft', 'tool': 'anti-air artillery'}","{'heading': '155', 'tool': 'Engage', 'target': 'Engage and neutralize the threat'}"
1780,"{'heading': '100', 'target': 'orange and black commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '100', 'tool': 'Surface-to-air missiles', 'target': 'zero zero'}"
1781,"{'heading': '080', 'target': 'brown drone', 'tool': 'anti-air artillery'}","{'heading': '080', 'tool': 'air defense turrets', 'target': 'air defense turrets, deploy anti - air artillery to engage the brown drone at heading zero eight zero'}"
1782,"{'heading': '030', 'target': 'blue, black, and brown missile', 'tool': 'electromagnetic pulse'}","{'heading': '030', 'tool': 'Control tower to turrets, deploy electromagnetic pulse', 'target': 'Control tower to turrets'}"
1783,"{'heading': '045', 'target': 'black drone', 'tool': 'anti-air artillery'}","{'heading': '045', 'tool': 'Fire anti-air artillery', 'target': 'Fire anti - air artillery at the black drone'}"
1784,"{'heading': '010', 'target': 'yellow and grey commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '010', 'tool': 'Deploy interceptor jets', 'target': 'zero one zero'}"
1785,"{'heading': '030', 'target': 'blue and orange light aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '030', 'tool': '', 'target': 'blue and orange light aircraft'}"
1786,"{'heading': '115', 'target': 'red and silver cargo aircraft', 'tool': 'EMP'}","{'heading': '115', 'tool': 'EMP', 'target': 'Turret Foxtrot'}"
1787,"{'heading': '360', 'target': 'orange camouflage helicopter', 'tool': 'anti-air artillery'}","{'heading': '', 'tool': 'Target locked', 'target': 'orange camouflage helicopter'}"
1788,"{'heading': '095', 'target': 'white, red, and orange drone', 'tool': 'EMP'}","{'heading': '05', 'tool': 'Deploy EMP', 'target': 'white, red, and orange drone'}"
1789,"{'heading': '210', 'target': 'red cargo aircraft', 'tool': 'EMP'}","{'heading': '210', 'tool': 'red cargo aircraft', 'target': 'red cargo aircraft'}"
1790,"{'heading': '115', 'target': 'blue camouflage cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '115', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1791,"{'heading': '005', 'target': 'orange, red, and yellow commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '005', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1792,"{'heading': '325', 'target': 'white helicopter', 'tool': 'machine gun'}","{'heading': '325', 'tool': 'Deploy machine gun', 'target': 'white helicopter'}"
1793,"{'heading': '100', 'target': 'brown commercial aircraft', 'tool': 'EMP'}","{'heading': '100', 'tool': 'Deploy EMP', 'target': 'Deploy EMP'}"
1794,"{'heading': '235', 'target': 'red, black, and silver fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '235', 'tool': 'Air defense turret', 'target': 'Air defense turret'}"
1795,"{'heading': '035', 'target': 'brown and black helicopter', 'tool': 'EMP'}","{'heading': '035', 'tool': 'EMP', 'target': ''}"
1796,"{'heading': '335', 'target': 'blue, purple, and red fighter plane', 'tool': 'surface-to-air missiles'}","{'heading': '335', 'tool': 'Engage surface-to-air missiles', 'target': 'blue, purple, and red fighter plane'}"
1797,"{'heading': '330', 'target': 'black and green cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '330', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1798,"{'heading': '280', 'target': 'brown drone', 'tool': 'EMP'}","{'heading': '280', 'tool': 'EMP', 'target': 'the brown drone'}"
1799,"{'heading': '285', 'target': 'yellow, green, and black commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '285', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1800,"{'heading': '035', 'target': 'white and blue commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '035', 'tool': 'Air defense turret, engage target, white and blue commercial aircraft, heading zero three five, deploy anti-air artillery', 'target': 'Air defense turret, engage target, white and blue commercial aircraft'}"
1801,"{'heading': '205', 'target': 'green light aircraft', 'tool': 'EMP'}","{'heading': '205', 'tool': 'deploy EMP', 'target': 'green light aircraft'}"
1802,"{'heading': '270', 'target': 'blue fighter plane', 'tool': 'interceptor jets'}","{'heading': '270', 'tool': 'Deploy interceptor jets to heading two seven zero. Engage blue fighter plane', 'target': 'Engage blue fighter plane'}"
1803,"{'heading': '075', 'target': 'silver, orange, and black fighter plane', 'tool': 'interceptor jets'}","{'heading': '075', 'tool': 'Control tower', 'target': 'jets'}"
1804,"{'heading': '230', 'target': 'silver and brown light aircraft', 'tool': 'EMP'}","{'heading': '230', 'tool': 'Engage', 'target': 'a silver and brown light aircraft'}"
1805,"{'heading': '080', 'target': 'black fighter jet', 'tool': 'machine gun'}","{'heading': '080', 'tool': 'machine gun', 'target': 'black fighter jet'}"
1806,"{'heading': '080', 'target': 'grey and white missile', 'tool': 'machine gun'}","{'heading': '080', 'tool': 'machine gun', 'target': 'the grey and white missile'}"
1807,"{'heading': '315', 'target': 'grey camouflage commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '315', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
1808,"{'heading': '245', 'target': 'purple, red, and white drone', 'tool': 'drone catcher'}","{'heading': '245', 'tool': 'deploy drone catcher', 'target': 'Turret Alpha, deploy drone catcher to intercept purple, red, and white drone heading two four five. Turret Alpha'}"
1809,"{'heading': '335', 'target': 'grey cargo aircraft', 'tool': 'EMP'}","{'heading': '335', 'tool': 'EMP', 'target': 'Grey cargo aircraft'}"
1810,"{'heading': '055', 'target': 'blue cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '055', 'tool': 'electromagnetic pulse', 'target': 'blue cargo aircraft'}"
1811,"{'heading': '215', 'target': 'purple and brown missile', 'tool': 'electromagnetic pulse'}","{'heading': '215', 'tool': '', 'target': 'Over'}"
1812,"{'heading': '170', 'target': 'white and grey helicopter', 'tool': 'machine gun'}","{'heading': '170', 'tool': 'machine gun', 'target': 'a white and grey helicopter'}"
1813,"{'heading': '225', 'target': 'brown and silver drone', 'tool': 'machine gun'}","{'heading': '225', 'tool': 'deploy machine gun', 'target': 'brown and silver drone'}"
1814,"{'heading': '280', 'target': 'grey, black, and white drone', 'tool': 'EMP'}","{'heading': '280', 'tool': 'Deploy EMP', 'target': 'turrets'}"
1815,"{'heading': '030', 'target': 'yellow, green, and red commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '030', 'tool': 'electromagnetic pulse', 'target': 'zero three zero, yellow, green, and red commercial aircraft'}"
1816,"{'heading': '325', 'target': 'orange, silver, and blue fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '325', 'tool': 'electromagnetic pulse', 'target': ''}"
1817,"{'heading': '340', 'target': 'brown and grey drone', 'tool': 'surface-to-air missiles'}","{'heading': '340', 'tool': 'deploying surface-to-air missiles', 'target': 'brown and grey drone'}"
1818,"{'heading': '220', 'target': 'green commercial aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '220', 'tool': 'surface-to-air missiles', 'target': 'surface - to - air missiles'}"
1819,"{'heading': '130', 'target': 'blue and white commercial aircraft', 'tool': 'anti-air artillery'}","{'heading': '13', 'tool': 'anti-air artillery', 'target': 'anti - air artillery'}"
1820,"{'heading': '145', 'target': 'orange helicopter', 'tool': 'machine gun'}","{'heading': '145', 'tool': 'Deploy machine gun', 'target': 'orange helicopter'}"
1821,"{'heading': '275', 'target': 'silver, yellow, and green commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '275', 'tool': 'Interceptor turrets A and J, deploy interceptor jets', 'target': 'silver, yellow, and green commercial aircraft'}"
1822,"{'heading': '025', 'target': 'black cargo aircraft', 'tool': 'EMP'}","{'heading': '025', 'tool': 'EMP', 'target': 'black cargo aircraft'}"
1823,"{'heading': '105', 'target': 'purple, silver, and orange missile', 'tool': 'machine gun'}","{'heading': '105', 'tool': 'Control Tower to turrets, deploy machine gun', 'target': 'purple, silver, and orange missile'}"
1824,"{'heading': '030', 'target': 'silver and orange commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '030', 'tool': 'electromagnetic pulse', 'target': 'destroyed'}"
1825,"{'heading': '330', 'target': 'black cargo aircraft', 'tool': 'anti-air artillery'}","{'heading': '330', 'tool': 'anti-air artillery', 'target': 'black cargo aircraft'}"
1826,"{'heading': '120', 'target': 'green and black cargo aircraft', 'tool': 'EMP'}","{'heading': '120', 'tool': 'Deploy EMP', 'target': 'green and black cargo aircraft'}"
1827,"{'heading': '280', 'target': 'white, yellow, and orange drone', 'tool': 'surface-to-air missiles'}","{'heading': '280', 'tool': 'surface-to-air missiles', 'target': 'Turret Alpha'}"
1828,"{'heading': '145', 'target': 'white, black, and orange helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '145', 'tool': 'Deploy surface-to-air missiles', 'target': ''}"
1829,"{'heading': '110', 'target': 'white, orange, and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '110', 'tool': 'EMP', 'target': 'EMP'}"
1830,"{'heading': '285', 'target': 'red and purple commercial aircraft', 'tool': 'EMP'}","{'heading': '285', 'tool': 'EMP', 'target': 'Bravo, deploy EMP on red and purple commercial aircraft'}"
1831,"{'heading': '010', 'target': 'green commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '010', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse'}"
1832,"{'heading': '030', 'target': 'blue helicopter', 'tool': 'EMP'}","{'heading': '030', 'tool': 'Deploy EMP', 'target': 'Alpha. Deploy EMP on blue helicopter'}"
1833,"{'heading': '130', 'target': 'brown, green, and black helicopter', 'tool': 'EMP'}","{'heading': '130', 'tool': 'Deploy EMP', 'target': 'brown, green, and black helicopter'}"
1834,"{'heading': '035', 'target': 'brown, white, and black fighter plane', 'tool': 'anti-air artillery'}","{'heading': '035', 'tool': 'anti-air artillery', 'target': 'brown, white, and black fighter plane'}"
1835,"{'heading': '030', 'target': 'black, purple, and white fighter jet', 'tool': 'machine gun'}","{'heading': '030', 'tool': 'machine gun', 'target': 'Engage target, black, purple, and white fighter jet'}"
1836,"{'heading': '095', 'target': 'white and brown fighter plane', 'tool': 'EMP'}","{'heading': '05', 'tool': 'EMP', 'target': 'zero niner five'}"
1837,"{'heading': '330', 'target': 'grey, blue, and red cargo aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '330', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse on grey, blue, and red cargo aircraft'}"
1838,"{'heading': '250', 'target': 'brown, black, and orange missile', 'tool': 'surface-to-air missiles'}","{'heading': '250', 'tool': 'Engage target, brown, black, and orange missile, heading two five zero, deploy surface-to-air missiles', 'target': 'Engage target, brown, black, and orange missile'}"
1839,"{'heading': '280', 'target': 'grey and blue fighter jet', 'tool': 'interceptor jets'}","{'heading': '280', 'tool': 'caution', 'target': 'Over'}"
1840,"{'heading': '070', 'target': 'blue drone', 'tool': 'machine gun'}","{'heading': '070', 'tool': 'machine gun', 'target': 'blue drone'}"
1841,"{'heading': '010', 'target': 'orange and blue cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '010', 'tool': 'deploy surface-to-air missiles', 'target': 'surface - to - air missiles'}"
1842,"{'heading': '105', 'target': 'silver, red, and grey missile', 'tool': 'EMP'}","{'heading': '105', 'tool': 'EMP', 'target': 'silver, red, and grey missile'}"
1843,"{'heading': '195', 'target': 'brown drone', 'tool': 'electromagnetic pulse'}","{'heading': '15', 'tool': 'Deploy electromagnetic pulse', 'target': 'brown drone'}"
1844,"{'heading': '355', 'target': 'blue and silver cargo aircraft', 'tool': 'surface-to-air missiles'}","{'heading': '355', 'tool': '', 'target': 'a blue and silver cargo aircraft'}"
1845,"{'heading': '010', 'target': 'blue and red fighter plane', 'tool': 'EMP'}","{'heading': '010', 'tool': 'EMP', 'target': 'blue and red fighter plane'}"
1846,"{'heading': '095', 'target': 'red, black, and purple drone', 'tool': 'electromagnetic pulse'}","{'heading': '05', 'tool': 'Engage', 'target': 'Engage'}"
1847,"{'heading': '015', 'target': 'black cargo aircraft', 'tool': 'EMP'}","{'heading': '015', 'tool': 'EMP', 'target': 'black cargo aircraft'}"
1848,"{'heading': '245', 'target': 'black, orange, and silver commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '245', 'tool': 'Control tower to turrets, scramble interceptor jets', 'target': 'turrets, scramble interceptor jets to intercept a black, orange, and silver commercial aircraft'}"
1849,"{'heading': '175', 'target': 'purple and yellow fighter plane', 'tool': 'electromagnetic pulse'}","{'heading': '175', 'tool': 'electromagnetic pulse', 'target': 'Control tower'}"
1850,"{'heading': '190', 'target': 'brown, black, and silver fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '10', 'tool': 'electromagnetic pulse', 'target': ''}"
1851,"{'heading': '315', 'target': 'red, white, and silver fighter jet', 'tool': 'electromagnetic pulse'}","{'heading': '315', 'tool': 'electromagnetic pulse', 'target': 'electromagnetic pulse on the red, white, and silver fighter jet'}"
1852,"{'heading': '050', 'target': 'grey commercial aircraft', 'tool': 'electromagnetic pulse'}","{'heading': '050', 'tool': 'precision strike', 'target': 'grey commercial aircraft'}"
1853,"{'heading': '145', 'target': 'red helicopter', 'tool': 'surface-to-air missiles'}","{'heading': '145', 'tool': 'Engage target red helicopter at heading one four five with surface-to-air missiles', 'target': 'red helicopter'}"
1854,"{'heading': '180', 'target': 'blue commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '180', 'tool': 'Deploy interceptor jets', 'target': ''}"
1855,"{'heading': '190', 'target': 'purple and yellow helicopter', 'tool': 'EMP'}","{'heading': '10', 'tool': 'EMP', 'target': 'purple and yellow helicopter'}"
1856,"{'heading': '325', 'target': 'green fighter jet', 'tool': 'surface-to-air missiles'}","{'heading': '325', 'tool': '', 'target': ''}"
1857,"{'heading': '005', 'target': 'grey and blue light aircraft', 'tool': 'EMP'}","{'heading': '005', 'tool': 'Control tower', 'target': 'Control tower to turrets'}"
1858,"{'heading': '180', 'target': 'red and green camouflage missile', 'tool': 'EMP'}","{'heading': '180', 'tool': 'Activate EMP', 'target': 'red and green camouflage missile'}"
1859,"{'heading': '330', 'target': 'white light aircraft', 'tool': 'EMP'}","{'heading': '330', 'tool': 'Engage', 'target': 'Engage'}"
1860,"{'heading': '245', 'target': 'green commercial aircraft', 'tool': 'interceptor jets'}","{'heading': '245', 'tool': 'Good hunting', 'target': 'green commercial aircraft'}"
